sentiment,title
2,Great CD
2,One of the best game music soundtracks - for a game I didn't really play
1,Batteries died within a year ...
2,"works fine, but Maha Energy is better"
2,Great for the non-audiophile
1,DVD Player crapped out after one year
1,Incorrect Disc
1,DVD menu select problems
2,Unique Weird Orientalia from the 1930's
1,"Not an ""ultimate guide"""
2,Great book for travelling Europe
1,Not!
1,A complete Bust
2,TRULY MADE A DIFFERENCE!
1,didn't run off of USB bus power
1,Don't buy!
2,"Simple, Durable, Fun game for all ages"
2,Review of Kelly Club for Toddlers
2,SOY UN APASIONADO DEL BOX
2,Some of the best fiddle playing I have heard in a long time
1,Long and boring
1,Dont like it
2,one of the last in the series to collect !
2,Sony Hi8 Camcorder with 2.5 LCD
1,Don't Take the Chance - Get the SE Branded Cable
1,Waste of money!
2,works great
1,Has No Range
2,wish i had gotten this sooner!
1,Three Days of Use and It Broke
2,This is the all time best book!
2,Mary Ash
2,Tha BOMB of a book!!
2,This book was a great book that i have read many times!
2,They'd watch it nonstop if I'd let them
1,Not as expected...
2,Wonderful
1,Doublecharged for shipping because merchant was backordered
1,BATTERY SUCKS
1,"Light reading, light in substance"
2,WeiB FOREVER!
1,Great Book--unacceptable condition
2,Real HTML for people who build sites for a living
2,Marriage has its good and bad moments
2,Amazing...
2,Leslie in a nutshell
1,More Romance Please and Less Mystery!!
1,A Lost Author
1,Okay but Messy....
2,Patricia Cornwell has turned me into a reader
2,Best of the First Four in this series.
2,Great Beginning...poor ending
1,12 Y/O Potty Humor From 40 somethings does not a comedy make....
1,I wish Adam Sandler wasn't in this.
2,"Wonderful, baffling mix"
2,No another grill like this...
1,Disappointment at it's extreme
2,From Potter's Field by Patricia Cornwell.
2,An Engrossing and Chilling Read
2,"great book. i loved it! they mentioned a movie, where is it?"
2,Simply Awesome!
1,Predictable & has a lame ending
2,Black Knight C2C Heat Squash Racquet
1,A historical gem whose title obscures its intent
1,Vastly overrated work of fiction
2,sergeant frosts lonely hearts club band
2,Great Camera
1,Had to return it
1,"Broke the 2nd time I wore it, great until then"
2,The amazing squeem
2,Great Product
2,I recommend ordering a size or 2 larger than your regular size.
1,WASTE OF MONEY: The inner metal rods keep poking through
1,CAUSES BRUISING AND BLISTERS IF WORN TOO LONG
1,Not happy
1,nice product
2,Does the job
1,conspiracy theorist
1,Another disappointment from Higgins
1,"1, and thats being generous...."
