,text,label
4300,"Okay, I haven't read the book yet but I have to say that the lead character was miscast. How can I say such a thing haven't read the book you ask? It's simple. As a viewer of this miniseries, I grew irritated by the mannerisms, gestures and look of the lead character, Fannie Price. It's one thing to be a good person but it's quite another to be a stick in the mud creature who disdains from looking anyone in the face or otherwise meeting their gaze. Apart from the overdone ""Susan B. Anthony"" profile, she seemed resolute in refusing to look at another person. The scene where Edmond is pouring his heart out to her, she is looking straight ahead the whole time, forcing him to do the same. As a result, it was just awkward and I just couldn't fathom anyone being in love with her let alone both Henry and Edmond. Many have said it was true to the book, if that is the case I find it hard to believe that Jane Austen would create such a character as her lead heroine. It's possible to create a character who has been put upon by others and succeeds in earning their trust and endearment but the portrayal of this character in this miniseries just didn't do it for me.",0
9536,"THE OTHER is a supposed ""horror"" movie made during the 1970s. It is not to be confused with the similarly titled THE OTHERS, which starred Nicole Kidman.<br /><br />The plot is as follows - a woman with strange supernatural powers teaches her twin grandsons something referred to simply as ""the game"". One of these twin boys - Niles - is supposed to be ""good"". The other one - Holland - is supposed to be evil.<br /><br />The idea sounds interesting enough as an abstract concept and the movie was adapted from a novel. I can only hope the novel was interesting as the movie was incredibly boring from beginning to end.<br /><br />The execution of this movie is very much like a TV movie of the kind UK residents might see on Channel 5. In fact, this movie looks like it was made to be the daytime afternoon movie for this TV channel. A slight trimming to one or two scenes and this would be a U-rated movie of the kind Disney produce. But even the youngest of children are more likely to be bored than scared by THE OTHER.<br /><br />You don't need to check out the director's CV to realise horror is not his forte.<br /><br />Mr. Mulligan relies heavily upon the characters to drive the story. This is obvious from the get-go. I haven't seen any of his other movies but TO KILL A MOCKINGBIRD is a highly regarded crime movie on this site. Unfortunately in THE OTHER, the characters are given too little to do and the plodding script ensures the movie never really takes off in the way one might expect.<br /><br />The direction is as bland as you could possibly find. Almost every single scene takes place in the daytime! Think about this - a scene shot in the open landscape in rural America during daytime with the camera focusing on vast area. Does it sound scary or atmospheric? Believe me, it isn't. It comes across as something more akin to an episode of LITTLE HOUSE ON THE PRAIRIE than a horror movie. And yes, both the aforementioned TV series and THE OTHER were shot in California.<br /><br />There is a noticeable absence of danger or malice that makes the whole exercise seem rather pointless.<br /><br />The ending was clearly meant to be highly disturbing and perhaps influenced that of another movie from this time period. I won't reveal which movie but I'll give 2 clues - a young boy was a main character and the movie is well-known. And I'll add that the concept was used to much greater effect in the latter movie.<br /><br />The acting is actually quite good and is the only reason why I have awarded 2 stars. The actors playing the twin boys, along with the actress playing the grandmother, all try hard with the poor material they are given.<br /><br />Diana Muldaur is completely wasted in a thankless role as the mother of the twin boys. Do not be fooled by her high billing on the cast list. She gets very little screen time and her presence just comes across as a ploy to cash-in on her long established TV career in order to help attract TV viewers.<br /><br />I paid careful attention to the blurb on the back of the DVD cover (of the Region 2 version in the UK). Comparisons were made to THE EXORCIST, which I thought was a complete insult to that movie. There is no comparison. THE EXORCIST had everything this movie should contain but does not - suspense, tension, tongue-in-cheek humour, highly disturbing content, great acting, superb characterisation and viewer involvement. Ironically, THE EXORCIST was made only a year later but in terms of style and execution seems like decades ahead of the bland drama known as THE OTHER. THE OTHER comes across as a work that would have seemed tame in the 1950s let alone the 1970s!<br /><br />The 1970s was a great era for horror movies with classics such as THE EXORCIST, THE OMEN, THE Texas CHAINSAW MASSACRE, THE LEGEND OF HELL HOUSE, SALEM'S LOT to name just a few being produced. For this reason, THE OTHER proves an even greater disappointment.<br /><br />If anyone finds the synopsis of THE OTHER interesting, they might want to read the book or do a little more research on what the book was about. I would advice everyone to skip the movie.",0
813,"Trading on the success of the 1975 hit, this film is a cheaply made story of a plantation where Massa gets down with the slave women, and the Missus gets down with the big black stud, and with massa'a son also. In fact, there is so much getting down going on, that I really don't know why anyone bothered to get dressed.<br /><br />So, if you want to see white women rolling their naked bodies all over tied up slaves, or you just like a movie with tits on display every five minutes, then this one is for you.<br /><br />There is a funny/sad story in here, but it only comes at the very end so as to not interfere with all the hot sweaty sex going on on the plantation.",0
11248,"I like Arnold, and I love the subject matter, but this was a very disappointing movie. When I first saw the previews, they were dark and ominous, and Arnold's name wasn't even mentioned. But I recognized him, which led me to believe that he was making a movie that had more of a serious, suspenseful mood. That it wasn't just another Schwarzenegger action vehicle (though I admit, most of his are pretty good!). He had, thus far, avoided movies with any real religious theme. And I was excited. I was wrong. This is just another action, explosion, gun fire movie. And it's a pretty bad one.",0
1436,"I watched this movie at a party, we were very puzzled by the ending, it ended rather poor. even though the entire movie isn't too amazing, i was expecting something slightly better. This movie is pure trash, but i suggest you watch it if you find cheap horror films with a weak script quite funny. Personally I loved the advert, it was my overall highlight, the fighting scenes were basic, a shot of a knife, some shadows in a window, fake blood. I must say the Granny costume was quite scary, This film is a mixture of kill joy, camp blood and boggy creek 2,except this film has slightly better camera wok and colour treatment compared with camp blood.",0
4804,"So we're supposed to find it funny that this woman travels all the way to the jungle - to the warzone - just to find out why her fiancée didn't travel to Switzerland? Or are we supposed to take it seriously? It's not even remotely funny, clever or entertaining - it's stupid - and so is the movie. The lead actress is one of the most annoying characters I have ever seen in a movie - even worse than Jar-Jar Binks. Dialog tries very hard to be funny (almost all the time) but it never is. The number of funny jokes is somewhere between zero and nothing. And as for the plot - did they even once bothered to explain to us what are the rebels fighting for (other than being anti-government)? I guess that didn't matter to anyone - neither to the rebels nor to the characters who just blindly flew to the battlefield. Don't waste your time. ""Coronado"" is neither funny nor entertaining.",0
4779,"Young Quaids fake accent was difficult to accept at times.<br /><br />The show was billed as mystery/suspence but should have been listed as a romance.<br /><br />Don't rent this one if you are sleepy, it will knock you out.",0
4642,"this western/musical/comedy is not one of the best of the genre i have seen.i found it much too slow.it just plodded along to the inevitable end.i also found it disjointed.i couldn't wait for it to be over.Randolph Scott is the headliner here,and Lloyd Bridges also stars.but for my money money Edgar Buchanan is the best of the bunch.Buchanan appeared in many westerns in his day,many times providing comic relief,as he does in this picture.i also liked Ann Dvorak as Rita.otherwise,though,i can't think of much to recommend this movie.the movie is based on a novel by Ernest Haycock,who also wrote the novel Stagecoach,which was mad into a movie of the same name in 1939,and remade in 1966 and again in 1986.The 1939 version of Stagecoach,is in my mind,one of the best movies ever made.anyway.as for Abilene town,my vote is a 3/10",0
11605,"Mystery Science Theater 3000 would have not been able to bring any redeeming quality to a showing of this ""gem."" <br /><br />This one is like a cheesy pirate copy of 80's porn you could have purchased on VHS from an arcade on 42nd st. before Disney bought the whole smash and closed them all down. <br /><br />But, wait - all the sex scenes have been cut. I challenge anyone to find a worse film. This film could replace water-boarding as a humane method of interrogation. <br /><br />No, I take that back - I would prefer water-boarding. <br /><br />The only credit this movie could earn apart from being the worst movie ever made would be to threaten the middle east into solving its problems under pain of having to watch this movie.",0
2811,"Last week I watched a Royal Shakespeare Company production of Macbeth. It was 25 years old, filmed w/no props except swords, no furniture except chairs. It was RIVETING. The acting was super - all the actors trained Brits. Contrast that performance to this...yawn yawn yawn. Al Pacino, as Shylock, was tragic, heavy, and couldn't quite lose the New Yorker accent, despite the long....pauses....between.....lines.... The whole thing was soporific, even the ""comic"" scenes were barely even worth a smile, let a lone a belly laugh. This is supposed to be funny. They tried to make it tragic. It was neither, just boring. I give it four points for costumes, scenery, and Jeremy Irons, who is good at playing a dull, depressed, deep-voiced guy (can he be anything else???)",0
